Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap22\Translado22_X=-1_#020.dat
Data.................: 31/01/2005
Hora.................: 12:13:45
Ganho................: 5
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         1.6390E-004	         1.6480E-005	         1.6472E-004	         5.9880E-007	         5.4486E-007	         6.2367E-007	         1.8574E+002
 2	        -9.1286E-004	         1.5178E-003	         1.7731E-003	         7.2603E-004	         1.2015E-003	         3.7749E-005	         1.5051E+002
 3	        -9.9272E-002	        -6.0463E-001	         6.1280E-001	         9.1183E-002	         5.5205E-001	         9.7349E-003	         2.6892E+001
 4	         3.9899E+000	         1.1073E+001	         1.1834E+001	         4.0736E+000	         1.0736E+001	         3.1471E-001	         1.7546E+001
 5	         4.1535E+003	         3.7320E+003	         5.5840E+003	         4.1540E+003	         3.7323E+003	         7.1194E+001	         1.8839E+002
 6	        -1.0791E+005	         1.9300E+005	         2.2144E+005	         1.1065E+005	         1.9763E+005	         1.3964E+004	         1.6987E+002
 7	        -3.7413E+006	         1.8666E+007	         1.9131E+007	         4.3855E+006	         1.9378E+007	         1.3978E+006	         3.4876E+002
 8	         3.9820E+008	        -3.4327E+009	         3.4573E+009	         4.3556E+008	         3.6079E+009	         3.6243E+008	         3.4958E+002
 9	        -1.5765E+011	        -6.8063E+010	         1.7209E+011	         1.6660E+011	         7.3337E+010	         1.4508E+010	         2.5946E+000
10	        -1.2531E+013	         1.1745E+013	         1.7375E+013	         1.3380E+013	         1.2818E+013	         1.6912E+012	         1.7569E+002
