Nn_1	Sn_1	Nn_2	Sn_2	Nn_3	Sn_3	Nn_4	Sn_4	Erro_Nn	Erro_Sn	Erro_Mod
 2.4682E-004	        -1.9982E-004	  4.1228E-002	         5.8361E-002	 -3.5614E+000	        -6.8629E+000	 -3.2261E+002	         1.0860E+001	  4.6536E-007	 8.7434E-007	 2.6974E-007	
 2.8544E-004	        -1.4781E-004	  3.3134E-002	         4.5434E-002	 -4.2556E+000	        -6.6716E+000	 -1.5667E+002	         1.5885E+002	  6.7075E-007	 6.3605E-007	 7.5888E-007	
 3.1477E-004	        -1.0832E-004	  2.4377E-002	         3.3020E-002	 -4.4495E+000	        -6.0254E+000	  1.5043E+001	         2.8813E+002	  1.0326E-007	 6.3490E-007	 2.4683E-007	
 3.3475E-004	        -8.0204E-005	  1.5709E-002	         2.2207E-002	 -4.1725E+000	        -5.0215E+000	  1.6543E+002	         3.8286E+002	  4.0508E-007	 1.6811E-007	 4.1177E-007	
 3.4672E-004	        -6.1416E-005	  8.1148E-003	         1.3083E-002	 -3.5212E+000	        -3.7639E+000	  2.7167E+002	         4.2684E+002	  2.6931E-007	 7.0417E-007	 3.6183E-007	
 3.5237E-004	        -5.1097E-005	  1.8325E-003	         7.3453E-003	 -2.6203E+000	        -2.5498E+000	  3.1520E+002	         4.2560E+002	  4.6648E-007	 7.8532E-007	 4.4449E-007	
 3.5086E-004	        -4.4985E-005	 -2.3512E-003	         3.3742E-003	 -1.6795E+000	        -1.3365E+000	  3.0883E+002	         3.6921E+002	  3.4066E-007	 6.8300E-007	 3.6045E-007	
 3.4828E-004	        -4.2000E-005	 -4.9113E-003	         1.7850E-003	 -8.2189E-001	        -3.7027E-001	  2.6017E+002	         2.7913E+002	  2.4871E-007	 6.3377E-007	 1.9790E-007	
 3.4274E-004	        -3.8803E-005	 -5.8139E-003	         1.8716E-003	 -1.5109E-001	         2.8728E-001	  1.8937E+002	         1.7156E+002	  3.5883E-007	 4.1814E-007	 3.6803E-007	
 3.3650E-004	        -3.5679E-005	 -5.7041E-003	         2.8648E-003	  2.9902E-001	         6.3413E-001	  1.1472E+002	         6.8107E+001	  5.5076E-007	 5.7702E-007	 5.1452E-007	
 3.3141E-004	        -3.1556E-005	 -4.7687E-003	         4.2250E-003	  5.4076E-001	         7.1012E-001	  4.9638E+001	        -1.4359E+001	  6.6988E-007	 6.3168E-007	 6.5155E-007	
 3.2675E-004	        -2.5539E-005	 -3.6438E-003	         5.5023E-003	  6.1413E-001	         5.8551E-001	  2.7644E-001	        -6.6639E+001	  7.4847E-007	 6.2875E-007	 7.4535E-007	
 3.2469E-004	        -1.8335E-005	 -2.5242E-003	         6.5464E-003	  5.5583E-001	         3.2240E-001	 -3.1701E+001	        -8.8444E+001	  4.4590E-007	 5.5299E-007	 4.7482E-007	
 3.2234E-004	        -1.1199E-005	 -1.4208E-003	         6.9202E-003	  4.4062E-001	         8.0523E-002	 -4.8313E+001	        -8.7569E+001	  4.5255E-007	 5.4598E-007	 4.3546E-007	
 3.2104E-004	        -3.0919E-006	 -7.4496E-004	         6.7931E-003	  2.9017E-001	        -1.7528E-001	 -5.2021E+001	        -7.3416E+001	  7.4116E-007	 2.8948E-007	 7.3941E-007	
 3.2092E-004	         5.5608E-006	 -5.4813E-004	         6.3849E-003	  1.3141E-001	        -3.9872E-001	 -4.7754E+001	        -5.5267E+001	  6.3037E-007	 8.2666E-007	 6.2753E-007	
 3.1998E-004	         1.1694E-005	 -3.2528E-004	         5.3818E-003	  1.4812E-002	        -5.1563E-001	 -3.7896E+001	        -3.7374E+001	  9.4937E-007	 5.6821E-007	 9.5201E-007	
 3.1863E-004	         1.7639E-005	 -3.4916E-004	         4.2678E-003	 -7.7355E-002	        -6.0615E-001	 -2.4660E+001	        -2.2597E+001	  6.2328E-007	 3.7803E-007	 6.2549E-007	
 3.1789E-004	         2.2112E-005	 -6.3924E-004	         3.0564E-003	 -1.3466E-001	        -6.6545E-001	 -1.0560E+001	        -9.9560E+000	  5.9751E-007	 2.4484E-007	 5.8400E-007	
 3.1785E-004	         2.6031E-005	 -9.4628E-004	         1.7493E-003	 -1.4405E-001	        -6.8621E-001	  2.4568E+000	         3.5183E+000	  3.8931E-007	 7.1924E-007	 3.5687E-007	
 3.1659E-004	         2.8493E-005	 -1.4437E-003	         3.5242E-004	 -1.2207E-001	        -6.8418E-001	  1.4927E+001	         1.8511E+001	  7.7135E-007	 3.3416E-007	 7.4926E-007	
 3.1465E-004	         2.8776E-005	 -1.5334E-003	        -8.6493E-004	 -6.3371E-002	        -5.9580E-001	  2.3583E+001	         3.5118E+001	  5.3859E-007	 3.6941E-007	 5.3546E-007	
 3.1265E-004	         2.8170E-005	 -1.5624E-003	        -1.9524E-003	  2.0251E-002	        -4.6468E-001	  2.7863E+001	         4.9941E+001	  8.7898E-007	 8.3135E-007	 9.3459E-007	
 3.1187E-004	         2.6627E-005	 -1.3066E-003	        -2.2726E-003	  9.6638E-002	        -2.8640E-001	  2.5940E+001	         5.9508E+001	  6.2363E-007	 7.6812E-007	 5.9617E-007	
 3.1011E-004	         2.4744E-005	 -1.0694E-003	        -2.9102E-003	  1.5274E-001	        -1.1074E-001	  1.3104E+001	         6.1853E+001	  5.3529E-007	 9.6564E-007	 5.6511E-007	
 3.0879E-004	         2.3256E-005	 -9.3597E-004	        -3.0582E-003	  1.6434E-001	         4.8837E-002	 -1.0618E+001	         4.8155E+001	  7.7914E-007	 5.6602E-007	 7.4878E-007	
 3.0762E-004	         2.0866E-005	 -6.2286E-004	        -2.7042E-003	  7.6665E-002	         1.4875E-001	 -4.6955E+001	         1.7866E+001	  4.7977E-007	 5.7382E-007	 5.0830E-007	
 3.0623E-004	         1.9634E-005	 -7.5183E-004	        -2.5963E-003	 -1.3031E-001	         1.2154E-001	 -8.8995E+001	        -3.1245E+001	  9.1468E-007	 5.8416E-007	 8.7824E-007	
 3.0513E-004	         1.8529E-005	 -1.2164E-003	        -2.2335E-003	 -4.6460E-001	        -5.4823E-002	 -1.3131E+002	        -9.2243E+001	  9.6404E-007	 5.5592E-007	 9.3863E-007	
 3.0351E-004	         1.6396E-005	 -2.7074E-003	        -2.7827E-003	 -9.0302E-001	        -4.4333E-001	 -1.6105E+002	        -1.5850E+002	  5.0393E-007	 2.2678E-007	 4.9969E-007	
 2.9874E-004	         1.4259E-005	 -5.0299E-003	        -4.2694E-003	 -1.4013E+000	        -1.0190E+000	 -1.7113E+002	        -2.1712E+002	  6.2819E-007	 2.7375E-007	 6.2931E-007	
 2.9252E-004	         1.0516E-005	 -8.2969E-003	        -6.6890E-003	 -1.9144E+000	        -1.7083E+000	 -1.5805E+002	        -2.5271E+002	  5.4083E-007	 4.5330E-007	 5.3977E-007	
 2.8040E-004	         8.9457E-007	 -1.2547E-002	        -1.1424E-002	 -2.2945E+000	        -2.5281E+000	 -1.1237E+002	        -2.5461E+002	  8.7733E-007	 9.3904E-007	 8.7583E-007	
 2.6584E-004	        -1.1356E-005	 -1.7474E-002	        -1.7079E-002	 -2.5445E+000	        -3.2266E+000	 -4.3852E+001	        -2.0748E+002	  2.6221E-007	 9.5123E-007	 2.7268E-007	
 2.4494E-004	        -3.1417E-005	 -2.2523E-002	        -2.4243E-002	 -2.5111E+000	        -3.7283E+000	  5.5412E+001	        -1.0365E+002	  1.7262E-007	 7.2679E-007	 2.3954E-007	
 2.1891E-004	        -5.8077E-005	 -2.7411E-002	        -3.1719E-002	 -2.1701E+000	        -3.8082E+000	  1.8154E+002	         5.9155E+001	  5.6066E-007	 6.5978E-007	 4.4397E-007	
 1.8861E-004	        -9.2768E-005	 -3.1043E-002	        -3.9065E-002	 -1.4119E+000	        -3.3432E+000	  3.2853E+002	         2.6869E+002	  4.9538E-007	 3.2438E-007	 4.7307E-007	
 1.5802E-004	        -1.3129E-004	 -3.2960E-002	        -4.4052E-002	 -2.3231E-001	        -2.1905E+000	  4.8347E+002	         4.9495E+002	  9.0920E-007	 7.5120E-007	 9.4924E-007	
 1.2451E-004	        -1.7716E-004	 -3.1813E-002	        -4.6832E-002	  1.4157E+000	        -3.9577E-001	  6.1305E+002	         7.0232E+002	  5.6513E-007	 9.2607E-007	 8.4245E-007	
 9.4994E-005	        -2.2289E-004	 -2.7031E-002	        -4.5303E-002	  3.3676E+000	         1.9349E+000	  6.8971E+002	         8.4586E+002	  6.5970E-007	 6.6164E-007	 7.3448E-007	
 7.0767E-005	        -2.6323E-004	 -1.8444E-002	        -3.8557E-002	  5.4468E+000	         4.5747E+000	  6.9371E+002	         8.9095E+002	  4.2749E-007	 3.7504E-007	 3.4142E-007	
