Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap35\Translado35_X=11_#004.dat
Data.................: 03/02/2005
Hora.................: 09:58:05
Ganho................: 10
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         4.7306E-005	        -7.8738E-005	         9.1857E-005	         5.5390E-007	         3.8226E-007	         4.2077E-007	         1.2100E+002
 2	        -4.0918E-003	        -1.6476E-002	         1.6976E-002	         3.2350E-003	         1.3025E-002	         3.0992E-005	         2.1803E+002
 3	         3.8268E-002	        -2.7310E-001	         2.7580E-001	         3.5229E-002	         2.4932E-001	         2.4383E-003	         1.5266E+002
 4	         2.5195E+001	         4.3343E+001	         5.0139E+001	         2.4404E+001	         4.1974E+001	         6.1368E-001	         1.4958E+001
 5	         2.9655E+003	         3.1777E+003	         4.3468E+003	         2.9659E+003	         3.1782E+003	         4.5011E+001	         1.8940E+002
 6	         1.6710E+005	         2.1597E+005	         2.7310E+005	         1.7061E+005	         2.2050E+005	         5.5447E+003	         8.7117E+000
 7	        -2.3018E+006	         2.2446E+006	         3.2177E+006	         2.3997E+006	         2.3629E+006	         4.9548E+005	         3.5367E+002
 8	        -5.9861E+008	        -7.5383E+008	         9.6688E+008	         6.3023E+008	         7.9206E+008	         2.7688E+007	         1.8644E+002
 9	        -1.3492E+010	        -2.8576E+010	         3.4203E+010	         1.9383E+010	         3.1550E+010	         6.8897E+009	         7.1917E+000
10	         1.8863E+012	         1.2757E+012	         2.4283E+012	         2.2686E+012	         1.9315E+012	         1.4677E+012	         3.4071E+000
