Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Wiggler\Medidas Wiggler - Corretoras\Bobina Tungstenio\Gap52\Map2\Translado52_X=8_#029.dat
Data.................: 10/02/2005
Hora.................: 09:59:49
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         8.9303E-005	        -1.4207E-005	         9.0427E-005	         4.4470E-007	         4.0305E-007	         4.2830E-007	         1.7096E+002
 2	         2.0161E-003	        -6.4575E-003	         6.7650E-003	         1.5942E-003	         5.1054E-003	         4.6449E-005	         3.2367E+002
 3	         2.3811E-001	        -1.6848E-001	         2.9171E-001	         2.1738E-001	         1.5384E-001	         1.9806E-003	         1.6824E+002
 4	         1.3409E+001	         2.8517E+001	         3.1514E+001	         1.2989E+001	         2.7614E+001	         4.0733E-001	         1.6204E+001
 5	         3.2359E+002	         7.3860E+002	         8.0730E+002	         3.2677E+002	         7.3995E+002	         4.6894E+001	         1.9327E+002
 6	         2.0332E+003	        -2.7408E+003	         4.9802E+003	         3.0232E+003	         5.2112E+003	         2.7783E+003	         3.5109E+002
 7	        -5.3173E+005	        -8.2150E+005	         1.1170E+006	         5.9092E+005	         1.2768E+006	         7.6865E+005	         8.1552E+000
 8	        -1.7036E+007	        -4.4426E+007	         9.6513E+007	         3.5822E+007	         1.1085E+008	         4.7762E+007	         1.8863E+002
 9	         1.1598E+009	         3.5454E+009	         9.3185E+009	         7.4188E+009	         8.6372E+009	         4.7989E+009	         1.8799E+002
10	        -1.8170E+011	         1.7770E+011	         2.1576E+012	         1.5375E+012	         1.9280E+012	         5.1991E+011	         1.7556E+002
