Curva de Excitacao - Bobina Girante

Arquivo..............: C:\Arq\Ima\BobinaGirante_vs4.1\gap300_X=-20_#001.dat
Data.................: 25/01/2005
Hora.................: 13:35:06
Ganho................: 20
N. de Coletas........: 1
N. de Voltas.........: 10
Intervalo de Análise.: 4 - 8
Temp1	Temp2	Temp3	Temp4	Temp5	Temp6	Temp7	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	
N	L.Nn	L.Sn	L.Bn(T/m^n-2)	Erro_Nn(T/m^n-2)	Erro_Sn(T/m^n-2)	Erro(T/m^n-2)	Ângulo()

 1	         9.2048E-005	        -4.2749E-005	         1.0149E-004	         1.0931E-007	         1.2412E-007	         5.1406E-008	         1.5509E+002
 2	         7.2099E-005	        -1.0751E-003	         1.0776E-003	         5.8354E-005	         8.5006E-004	         1.2455E-005	         3.1692E+002
 3	        -7.4797E-003	        -5.2111E-003	         9.1454E-003	         6.9141E-003	         4.8186E-003	         1.0496E-003	         1.1622E+001
 4	         1.5481E-001	         7.0886E-002	         2.0930E-001	         1.8051E-001	         1.5161E-001	         9.9346E-002	         6.1506E+000
 5	        -2.2478E+001	        -4.9412E+000	         2.3732E+001	         2.4025E+001	         7.7775E+000	         8.1309E+000	         2.4796E+000
 6	         9.8928E+002	         3.9855E+002	         1.6439E+003	         1.2479E+003	         1.5126E+003	         8.3925E+002	         3.6571E+000
 7	        -1.5107E+005	        -1.2709E+005	         2.4545E+005	         2.0886E+005	         2.1508E+005	         1.4675E+005	         5.7248E+000
 8	         1.7663E+007	         3.3014E+006	         2.7009E+007	         2.1402E+007	         2.3202E+007	         1.1618E+007	         1.3234E+000
 9	        -1.0962E+009	        -6.7505E+008	         2.4763E+009	         1.9037E+009	         2.5559E+009	         1.6497E+009	         3.5140E+000
10	         1.5591E+011	         1.1779E+011	         3.9821E+011	         3.1849E+011	         3.5419E+011	         1.8286E+011	         3.7070E+000
